Actual_Demand,Predicted_Demand,Dynamic_Price
246.83333333333331,228.79657,2.2875901795751967
338.66666666666663,296.53146,2.372730831721364
430.5,362.09537,2.4551426294618284
522.3333333333333,424.80084,2.5339614569365896
614.1666666666666,485.36276,2.610085908663373
706.0,544.14825,2.6839774430754315
319.0,601.3499,2.755878139818821
452.0,330.4563,2.415373301526133
264.0,433.7373,2.545194309492756
266.42857142857144,294.01358,2.3695659347941556
268.85714285714283,304.40543,2.382628167360048
271.2857142857143,307.7095,2.3867812806896276
273.7142857142857,312.7499,2.3931169068798748
276.1428571428572,316.35376,2.39764684692471
278.57142857142856,318.8706,2.400810436604232
281.0,320.56558,2.402940973799682
105.0,321.76678,2.40445084487732
101.4,185.71391,2.2334366145721147
97.8,185.25842,2.232864077794598
94.2,181.45288,2.228080632256142
90.6,179.6479,2.2258118284784905
87.0,177.24263,2.2227884788223884
44.0,174.33507,2.2191337662428876
128.0,139.72804,2.1756338048043737
212.0,205.29767,2.258052792407113
296.0,267.91428,2.3367599256228337
380.0,329.4722,2.4141363184030036
464.0,388.56665,2.4884162059353976
548.0,445.61887,2.5601290738117104
632.0,500.9636,2.6296956798112707
475.3333333333333,554.8291,2.697402939661835
318.6666666666667,447.42545,2.562399888739648
162.0,336.43005,2.4228821196663586
553.0,219.4516,2.275843842641803
131.0,501.37054,2.6302071907472797
633.5,193.18091,2.2428224015657223
1136.0,557.5556,2.7008300654470325
40.0,843.70447,3.0605103041347874
44.11111111111112,100.75615,2.126647349965978
48.22222222222222,142.35371,2.17893419041245
52.333333333333336,137.55444,2.172901657140077
56.44444444444445,147.75493,2.1857233561316964
60.55555555555556,155.37035,2.195295702453761
64.66666666666666,160.85329,2.202187587673894
68.77777777777777,164.2489,2.206455763939243
72.88888888888889,166.19273,2.2088990978527
77.0,167.32964,2.210328158397886
84.55555555555556,168.19458,2.2114153611034237
92.11111111111111,171.8772,2.2160443000211147
99.66666666666666,175.8596,2.221050053084372
107.22222222222224,180.26538,2.2265879816528327
114.77777777777776,185.06337,2.232618906004977
122.33333333333331,190.21797,2.239098078046928
129.88888888888889,195.66429,2.2459439330648765
137.44444444444446,201.32889,2.2530641592606697
145.0,207.13327,2.260360084573373
893.0,213.02026,2.2677598480893097
679.25,694.04724,2.8723958160092593
465.5,582.7655,2.7325181264528102
251.75,444.5947,2.558841723943592
38.0,285.01974,2.3582609573608377
157.0,119.711716,2.1504739074615276
276.0,220.53014,2.277199533910597
360.0,312.5905,2.392916546032576
530.0,377.86023,2.474958568653477
1000.0,496.49838,2.624083037009664
180.0,775.82166,2.9751837211446275
757.0,220.78975,2.2775258556142814
88.0,629.928,2.791799923571601
577.0,146.0939,2.1836354930313897
774.0,520.1621,2.653827597796643
39.0,643.7443,2.8091665833867587
43.5,113.44819,2.1426008498929026
48.0,141.86667,2.17832199626522
52.5,141.73315,2.1781541657738064
57.0,150.77316,2.189517177462581
61.5,157.3025,2.197724354970126
66.0,161.81296,2.2033938630460854
70.5,164.61972,2.206921873157533
75.0,166.36656,2.2091175967616463
1102.0,167.63052,2.2107063552092745
706.5,790.7558,2.9939554711074923
311.0,599.66473,2.7537599334885647
542.3333333333334,334.23206,2.420119314529881
773.6666666666667,493.65237,2.6205056908677498
1005.0,638.40015,2.802449152884296
113.0,776.45435,2.975978992816381
81.5,155.12122,2.194982553784454
50.0,163.62352,2.2056696807103613
1047.0,135.90425,2.1708274195829613
1023.5,769.2449,2.9669169381704643
1000.0,791.30566,2.9946466280428483
904.6,788.9381,2.991670678685063
809.2,726.6843,2.9134195863665093
713.8,665.6809,2.8367402079969057
618.4,604.2293,2.7594974561532783
523.0,543.17914,2.682759301916549
427.5999999999999,481.62854,2.605392110148941
332.19999999999993,418.8967,2.526540136403519
236.8,354.39777,2.44546698543317
141.39999999999998,287.70404,2.3616350390572274
46.0,218.52022,2.2746731269206153
1140.0,146.65465,2.1843403383583837
35.0,814.4654,3.023757701628938
365.0,107.84016,2.135551730429429
695.0,392.3572,2.4931808095096066
326.0,598.1909,2.7519073749717866
601.0,347.59467,2.4369157001115935
430.5,543.58307,2.683267029376082
260.0,421.46948,2.529774040924935
435.5,301.54962,2.3790385029226284
611.0,429.08246,2.539343320242813
786.5,545.8618,2.686131322183895
962.0,657.4469,2.8263903258346765
1618.0,759.7473,2.9549787500694213
59.99999999999999,1065.5072,3.3393094441348703
35.0,84.50144,2.1062156845444084
75.0,130.92409,2.164567513201003
115.0,153.48352,2.192924015769263
155.0,196.46507,2.246950488643923
