Actual_Demand,Predicted_Demand
713.8,665.6809
618.4,604.2293
523.0,543.17914
427.59999999999985,481.62854
332.19999999999993,418.8967
236.79999999999998,354.39777
141.39999999999998,287.70404
46.0,218.52022
1140.0,146.65465
35.0,814.4654
365.0,107.84016
695.0,392.3572
326.0,598.1909
601.0,347.59467
430.5,543.58307
260.0,421.46948
435.5,301.54962
611.0,429.08246
786.5,545.8618
961.9999999999999,657.4469
1618.0,759.7473
59.99999999999999,1065.5072
35.0,84.50144
75.0,130.92409
115.00000000000001,153.48352
155.0,196.46507
195.0,235.10365
235.00000000000003,269.36493
275.0,299.57333
315.0,326.96658
355.0,352.74173
395.0,377.8351
676.0,402.8546
266.0,586.206
401.0,296.7108
536.0,402.59848
98.0,491.19385
339.0,166.20508
21.0,359.74542
31.0,110.09893
70.0,130.87029
109.0,161.60944
589.0,194.68515
554.2857142857143,530.48175
519.5714285714286,512.494
484.8571428571429,489.7345
450.1428571428571,460.66235
415.42857142857144,433.74704
380.7142857142857,408.44458
346.0,384.34857
290.8333333333333,360.86725
235.66666666666669,322.35754
180.5,283.53473
125.33333333333336,243.78757
70.16666666666669,203.21417
14.999999999999998,161.66046
136.16666666666669,119.03921
257.33333333333337,215.58867
378.5,305.98306
499.66666666666674,393.01517
620.8333333333334,474.92664
742.0,552.5764
374.5,626.68896
7.0,373.22256
23.0,92.259705
39.0,113.78381
55.0,129.5224
29.0,148.68672
79.0,131.69258
129.0,173.38354
172.25,211.57817
215.5,243.44574
258.75,273.92715
302.0,303.61032
277.5,333.0179
253.00000000000003,312.98917
228.5,293.6942
204.0,274.62344
179.5,256.42624
155.0,238.7303
614.0,221.21474
11.0,540.7085
1078.0,96.43266
21.0,775.77704
244.00000000000003,86.654434
177.5,297.13593
111.0,235.4975
93.0,191.40724
190.5,179.78392
288.0,256.68625
391.0,329.26633
494.0,402.79504
477.6666666666667,472.1906
461.3333333333333,458.45135
445.0,444.88837
359.0,431.1942
249.49999999999997,368.9321
140.0,289.15738
235.83333333333331,207.5332
331.66666666666663,284.39313
427.5,355.9741
523.3333333333333,425.79984
619.1666666666666,491.3162
715.0,553.3034
1170.0,612.4611
1625.0,863.8658
1115.0,1073.8859
579.5,828.6936
44.0,501.91925
470.99999999999994,103.55484
898.0,444.15723
936.4285714285716,714.1306
974.857142857143,748.41943
1013.2857142857142,773.7414
1051.7142857142858,791.7869
1090.142857142857,809.91394
1128.5714285714287,828.3288
1167.0,847.2027
41.0,866.38403
472.0,77.563385
451.25000000000006,451.9098
430.5,432.1533
409.75,431.9147
389.0,419.87866
368.25,406.34036
347.5,391.20416
326.75,375.2538
306.0,358.91153
1895.0,342.47647
54.00000000000001,1076.4054
244.99999999999997,96.22769
436.0,307.58197
627.0,423.35846
351.0,558.3003
339.5,368.49112
328.0,368.12802
95.0,357.25864
839.0,179.27487
974.0000000000001,675.4178
227.0,765.7969
76.0,262.7394
253.99999999999997,162.00108
432.00000000000006,296.4161
240.49999999999997,425.94376
49.0,289.25516
117.87499999999999,144.32379
186.75,200.8929
255.625,252.88342
324.5,305.42932
393.375,355.12653
462.24999999999994,402.5754
531.125,448.3549
600.0,492.96295
1481.0,536.7254
1195.5,987.5443
910.0,874.6494
583.0,722.163
256.0,508.44083
140.5,278.2475
25.0,202.19505
183.0,118.720024
48.0,253.74864
780.0,150.42741
580.0,647.84814
380.0,532.8525
180.0,399.04044
489.99999999999994,243.7456
374.0,465.52652
258.0,382.23618
228.71428571428572,301.2173
199.42857142857144,279.31186
170.14285714285714,257.5085
140.85714285714286,236.66983
111.57142857142858,215.40233
82.28571428571428,193.60426
52.99999999999999,171.24005
80.0,148.35092
972.0,169.83337
521.0,733.4306
950.0,479.6901
701.0,749.2715
475.0,593.69714
314.5,446.08524
154.0,330.32355
455.0,212.20378
756.0,438.6181
1057.0,635.447
555.0,812.3041
1015.9999999999999,500.19785
993.0000000000001,785.4739
970.0,770.52563
947.0,761.51324
923.9999999999999,745.69855
901.0000000000001,731.7538
878.0,718.4844
855.0,705.7314
831.9999999999999,693.1405
809.0,680.4956
786.0,667.6614
763.0,654.5726
740.0,641.2105
717.0,627.58356
503.0,613.7212
983.0,470.71744
76.0,768.4786
526.0,130.15878
513.3333333333334,494.9545
500.66666666666663,480.46335
488.00000000000006,480.4364
435.0,470.85016
674.0,433.05237
913.0,591.18414
690.0,732.9486
467.0,595.1484
461.99999999999994,446.18362
457.0,443.565
399.5,439.90497
342.0,401.7407
319.5,363.09583
297.0,348.82547
274.5,333.60492
252.0,318.1015
229.5,301.9003
207.00000000000003,285.16333
117.0,268.03198
27.000000000000004,198.18097
102.0,127.32058
249.33333333333337,187.47993
396.6666666666667,298.43112
544.0,404.3632
566.0,504.0914
612.0,516.9112
658.0,544.78925
84.0,571.7507
370.0,146.3654
656.0,377.33524
380.5,567.1835
105.0,383.65912
219.0,181.34264
333.0,274.01556
148.0,357.57654
